callSign	frequency	type	city	state	name	longitude	latitude
W281BA	104.1	FM	CORNING	NY	FAMILY LIFE MINISTRIES, INC.	-77.07747	42.14203
W204CL	88.7	FM	LEXINGTON PARK	MD	GRACE MISSIONARY BAPTIST CHURCHD/B/A GRACE CHRISTIAN SCHOOL	-76.4705	38.27261
W218CM	91.5	FM	GLASGOW	KY	CSN INTERNATIONAL	-86.00219	36.9595
K270CE	101.9	FM	TRUTH OR CONSEQUENCE	NM	DON DAVIS	-107.23253	33.14061
KPFS-LP	100.7	FM	ELK CITY	OK	WESTERN OKLAHOMA CATHOLIC FAITH FOUNDATION	-99.36758	35.42281
W225BV	92.9	FM	POMONA	NJ	WYRS BROADCASTING	-74.5385	39.47622
W289BY	105.7	FM	MILLVILLE	NJ	RITMO BROADCASTING, LLC.	-75.02128	39.42206
W265CW	100.9	FM	CENTRALIA	IL	COVENANT NETWORK	-89.15786	38.54339
W263CN	100.5	FM	DUNKIRK	NY	FAMILY LIFE MINISTRIES, INC.	-79.33003	42.48906
W256CA	99.1	FM	JOLIET	IL	EDUCATIONAL MEDIA FOUNDATION	-88.03561	41.54058
WWMV-LP	95.5	FM	MADISON	WI	LUSSIER COMMUNITY EDUCATION CENTER INC	-89.50231	43.06642
W232DJ	94.3	FM	OCEAN CITY	MD	THE BRIDGE OF HOPE, INC.	-75.06378	38.38872
W247DC	97.3	FM	NARROWS	VA	NEW RIVER INTERACTIVE MEDIA, LLC	-80.77639	37.34417
KQRZ-LP	100.7	FM	HILLSBORO	OR	OREGON AMATEUR RADIO CLUB	-122.86922	45.45753
KICN-LP	96.7	FM	PORTLAND	OR	OPAL ENVIRONMENTAL JUSTICE OREGON	-122.86922	45.45753
W259AD	99.7	FM	NEWBERRY	MI	GOSPEL OPPORTUNITIES, INC.	-85.5625	46.31472
W218AY	91.5	FM	LAUREL	MS	BIBLE BROADCASTING NETWORK, INC.	-89.15867	31.78183
K215DS	90.9	FM	TRUCKEE	CA	CALIFORNIA STATE UNIVERSITY, SACRAMENTO	-119.94406	39.32322
K204EX	88.7	FM	PAONIA	CO	EDUCATIONAL COMMUNICATIONS OF COLORADO SPRINGS, INC.	-107.59728	38.85944
KSEP-LP	99.9	FM	BROOKINGS	OR	ANCHOR NETWORK	-124.26536	42.05508
KCMG-LP	100.1	FM	LOVINGTON	NM	LOVINGTON CHRISTIAN BROADCASTING CORPORATION	-103.35464	32.94317
K247AD	97.3	FM	CARBONDALE	CO	PITKIN COUNTY TRANSLATOR DEPARTMENT	-107.37614	39.42331
K235AN	94.9	FM	CARBONDALE	CO	PITKIN COUNTY TRANSLATOR DEPARTMENT	-107.37586	39.42303
W293AT	106.5	FM	OWENSBORO	KY	MUSIC MINISTRIES, INC.	-87.08275	37.76169
W237CP	95.3	FM	MIAMI	FL	FLORIDA INTERNATIONAL UNIVERSITY	-80.37386	25.75697
KFND-LP	97.1	FM	RAPID CITY	SD	_	-103.24878	44.04303
K273BK	102.5	FM	EASTERN DISTRICT	AS	LEONE CHURCH OF CHRIST	-170.56389	14.25806
KGBZ-LP	102.5	FM	MADRAS	OR	CENTRAL OREGON EDUCATIONAL RADIO CORPORATION	-121.11808	44.64983
W219DI	91.7	FM	MOREHEAD	KY	RADIO BY GRACE, INC.	-83.40767	38.17589
W224AF	92.7	FM	DANVILLE	VA	BIBLE BROADCASTING NETWORK, INC.	-79.49722	36.649
W212CL	90.3	FM	BENTON HARBOR	MI	PENSACOLA CHRISTIAN COLLEGE, INC.	-86.43753	42.09781
KKJD	91.3	FM	BORREGO SPRINGS	CA	BORREGO SPRINGS CHRISTIAN CENTER	-116.37583	33.24419
WXTF-LP	97.9	FM	HARRISVILLE	MI	HARRISVILLE CULTURAL INSTITUTE	-83.32192	44.64833
K215BW	90.9	FM	ARCATA	CA	EDUCATIONAL MEDIA FOUNDATION	-123.97533	40.72653
W249DA	97.7	FM	CROSSVILLE	TN	PEG BROADCASTING, LLC	-84.97161	36.02172
