hex,count
84448a5ffffffff,2
84448cbffffffff,11
8444d6dffffffff,7
8444897ffffffff,9
84448bdffffffff,4
8444989ffffffff,1
84448e3ffffffff,5
84449d5ffffffff,2
8444889ffffffff,10
842adb7ffffffff,2
84448d5ffffffff,12
8444ab9ffffffff,26
84448a1ffffffff,2
84448c7ffffffff,7
8444d69ffffffff,10
8444a85ffffffff,26
8444aabffffffff,11
8444893ffffffff,13
84448b9ffffffff,6
84449d1ffffffff,2
8444885ffffffff,6
8444f65ffffffff,14
84448abffffffff,3
842adb3ffffffff,1
8444d4dffffffff,15
84448d1ffffffff,13
844499dffffffff,1
8444ab5ffffffff,14
844489dffffffff,11
84448c3ffffffff,12
84449dbffffffff,3
8444aa7ffffffff,10
84448b5ffffffff,3
84448dbffffffff,18
8444881ffffffff,7
84448a7ffffffff,2
84448cdffffffff,9
8444999ffffffff,1
8444ab1ffffffff,24
8444f2dffffffff,20
8444899ffffffff,16
844498bffffffff,1
84449d7ffffffff,1
8444aa3ffffffff,12
844488bffffffff,11
84448b1ffffffff,3
84448d7ffffffff,11
8444a95ffffffff,30
8444abbffffffff,27
84448a3ffffffff,3
84448c9ffffffff,10
8444a87ffffffff,19
8444895ffffffff,9
84448bbffffffff,5
84448e1ffffffff,4
84449d3ffffffff,2
8444887ffffffff,4
84448adffffffff,3
84448d3ffffffff,17
8444ab7ffffffff,12
84448c5ffffffff,5
84448ebffffffff,6
8444a83ffffffff,26
8444f25ffffffff,19
8444891ffffffff,13
84448b7ffffffff,3
84448ddffffffff,12
8444883ffffffff,9
84448a9ffffffff,4
844499bffffffff,1
8444ab3ffffffff,21
844489bffffffff,16
84448c1ffffffff,8
84448e7ffffffff,4
844488dffffffff,7
8428069ffffffff,15
8429191ffffffff,12
84291a7ffffffff,27
8428315ffffffff,29
84291bdffffffff,23
842832bffffffff,47
84291d3ffffffff,5
8428341ffffffff,47
8428357ffffffff,32
842804dffffffff,15
842822dffffffff,24
8429a93ffffffff,22
842836dffffffff,29
842918bffffffff,10
84291a1ffffffff,20
84291b7ffffffff,26
842833bffffffff,14
84291e3ffffffff,13
8428351ffffffff,33
8428047ffffffff,6
8428227ffffffff,15
8428367ffffffff,25
842805dffffffff,5
8429185ffffffff,13
842919bffffffff,7
8428269ffffffff,15
8428309ffffffff,61
84291b1ffffffff,22
84291ddffffffff,4
842834bffffffff,29
8428041ffffffff,7
8428221ffffffff,21
8428361ffffffff,33
842824dffffffff,7
8429195ffffffff,12
8428263ffffffff,17
8428303ffffffff,31
84291abffffffff,18
8428319ffffffff,18
84291d7ffffffff,8
8428205ffffffff,13
8428345ffffffff,32
842835bffffffff,24
8429a97ffffffff,14
8428247ffffffff,7
84291a5ffffffff,17
8428313ffffffff,19
8428009ffffffff,4
84291bbffffffff,16
8428329ffffffff,38
84291d1ffffffff,3
84290a7ffffffff,6
84291e7ffffffff,13
8428355ffffffff,40
842804bffffffff,6
842822bffffffff,16
8429a91ffffffff,11
842836bffffffff,31
8428241ffffffff,7
8429189ffffffff,9
842826dffffffff,20
842830dffffffff,50
84291b5ffffffff,25
84291cbffffffff,3
8428339ffffffff,18
84291e1ffffffff,10
8428045ffffffff,6
8428225ffffffff,17
8428365ffffffff,23
8429183ffffffff,13
8429199ffffffff,7
8428267ffffffff,23
8428307ffffffff,26
842831dffffffff,33
8428349ffffffff,33
8428055ffffffff,5
8429a9bffffffff,33
8429193ffffffff,12
8428261ffffffff,20
8428301ffffffff,44
84291a9ffffffff,17
8428317ffffffff,23
84291d5ffffffff,5
8428343ffffffff,45
8428359ffffffff,24
8428245ffffffff,9
842918dffffffff,11
84291a3ffffffff,24
8428311ffffffff,22
84291b9ffffffff,14
84290a5ffffffff,6
842833dffffffff,32
8428353ffffffff,20
