name,longitude,latitude,population
Junin,-60.94332,-34.58382,85007
Joaquin V. Gonzalez,-64.12628,-25.11364,19185
Jesus Maria,-64.09424,-30.98153,26825
Granadero Baigorria,-60.71754,-32.85683,32427
Gobernador Galvez,-60.64045,-33.03016,74650
General Villegas,-63.01252,-35.03285,16270
General Roca,-67.58333,-39.03333,73212
General Pinedo,-61.28333,-27.31667,15741
General Pico,-63.75682,-35.65662,57029
General Mosconi,-63.81255,-22.59588,19811
Galvez,-61.22103,-32.02927,18374
Firmat,-61.4832,-33.45937,18294
Famailla,-65.40329,-27.05413,30951
Esquel,-71.31947,-42.91147,28486
Esperanza,-60.93173,-31.4488,35885
Embarcacion,-64.09965,-23.21003,23961
Embalse,-64.41809,-32.18,15900
El Bolson,-71.53336,-41.96051,15537
Diamante,-60.63837,-32.06641,19545
Dean Funes,-64.34984,-30.42036,20164
Cutral-Co,-69.23052,-38.93424,47380
Cruz del Eje,-64.80387,-30.72644,28166
Crespo,-60.30658,-32.02873,18296
Cosquin,-64.46563,-31.24508,19070
Coronel Suarez,-61.93343,-37.45467,27000
Coronda,-60.91983,-31.97263,16975
Cordoba,-64.18105,-31.4135,1428214
Comodoro Rivadavia,-67.49656,-45.86413,140850
Cipolletti,-67.99032,-38.93392,75078
Cinco Saltos,-68.06293,-38.82225,19819
Chivilcoy,-60.01667,-34.89566,54514
Chimbas,-68.53333,-31.48333,73829
Chilecito,-67.4974,-29.16195,42248
Charata,-61.18795,-27.21438,27813
Chacabuco,-60.47389,-34.64167,34587
Centenario,-68.1318,-38.82955,28956
Caucete,-68.28105,-31.65179,33609
Catriel,-67.7956,-37.87907,15169
Castelli,-60.61947,-25.94679,36588
Casilda,-61.16806,-33.04417,32002
Carcarana,-61.15331,-32.85679,15619
Capitan Bermudez,-60.71852,-32.82262,27060
Canada de Gomez,-61.39493,-32.81636,36000
Caleta Olivia,-67.52814,-46.43929,36077
Bell Ville,-62.68873,-32.62591,35105
Bella Vista,-65.30196,-27.03424,15126
Bahia Blanca,-62.27243,-38.71959,276546
Arroyo Seco,-60.50863,-33.15489,20620
Arroyito,-63.05002,-31.42022,19577
Anatuya,-62.83472,-28.46064,20261
Alta Gracia,-64.42826,-31.65292,40384
Allen,-67.82714,-38.97736,26083
Alderetes,-65.13333,-26.81667,38466
Albardon,-68.52556,-31.43722,20413
Aguilares,-65.61427,-27.4338,32494
Balvanera,-58.39766,-34.61032,152198
Villa Santa Rita,-58.481,-34.61082,34000
Villa Mercedes,-65.45783,-33.67571,96781
San Miguel,-58.71229,-34.54335,157532
San Carlos de Bariloche,-71.30822,-41.14557,95394
Adrogue,-58.38384,-34.80041,28265
Ingeniero Pablo Nogues,-58.70652,-34.47775,38470
Jose C. Paz,-58.76813,-34.51541,230208
Pago Pago,-170.7025,-14.27806,11500
Wilten,11.38808,47.25829,18142
Wiener Neustadt,16.23196,47.80485,44820
Vienna,16.37208,48.20849,1691468
Wetzelsdorf,15.39923,47.05293,15687
Wels,14.03333,48.16667,16857
Weinzierl bei Krems,15.6,48.4,24092
Villach,13.85583,46.61028,58882
Telfs,11.06817,47.30707,15229
Strassgang,15.4,47.03333,16268
Stockerau,16.21667,48.38333,16292
Steyr,14.42127,48.04274,38331
Simmering,16.43333,48.18333,101420
Sankt Poelten,15.63333,48.2,21911
Sankt Peter,15.46667,47.05,15187
Sankt Peter,14.34016,46.62978,20320
Sankt Martin,14.28333,46.61667,20000
Salzburg,13.04399,47.79941,153377
Saalfelden am Steinernen Meer,12.848,47.42681,16790
Pradl,11.4152,47.26539,32588
Perchtoldsdorf,16.26607,48.11935,15047
Ottakring,16.3,48.21667,104627
Moedling,16.28921,48.08605,20555
Meidling,16.33333,48.16667,97624
Lustenau,9.65851,47.42642,22821
Linz,14.28611,48.30639,204846
Klosterneuburg,16.32522,48.30521,15614
Klagenfurt am Woerthersee,14.30528,46.62472,90610
Innsbruck,11.39454,47.26266,132493
Innere Stadt,16.37135,48.20906,16450
Hoetting,11.36868,47.26815,35043
Hohenems,9.68694,47.36121,16317
Hietzing,16.2965,48.18623,54265
Hernals,16.26667,48.23333,57546
Graz,15.45,47.06667,222326
Floridsdorf,16.4,48.25,162779
Feldkirch,9.6,47.23306,33420
Eggenberg,15.39871,47.07,20511
Dornbirn,9.74195,47.41427,49278
Bregenz,9.7471,47.50311,29471
Baden,16.23264,48.00543,26286
Amstetten,14.87206,48.1229,15559
Favoriten,16.38233,48.16116,201882
Donaustadt,16.46002,48.2333,187007
Jakomini,15.44984,47.05441,32912
Lend,15.41589,47.08256,31147
Geidorf,15.444,47.08393,24767
Sankt Leonhard,15.45784,47.06924,15853
Andritz,15.42348,47.11387,19020
Gries,15.42421,47.06236,29363
Scarborough,115.76431,-31.89578,15258
Rockingham,115.72978,-32.27682,108022
Perth,115.8614,-31.95224,1896548
Mount Isa,139.49727,-20.72523,22785
Morphett Vale,138.51667,-35.13333,22788
Mandurah,115.7217,-32.5269,83294
Kwinana,115.78128,-32.23013,30433
Gosnells,116.0054,-32.081,19914
Geraldton,114.61459,-28.77897,26872
Gawler,138.74902,-34.60251,20006
Darwin,130.84185,-12.46113,129062
Busselton,115.3455,-33.65249,21898
Bunbury,115.64137,-33.32711,68248
Alice Springs,133.88362,-23.69748,25186
Albany,117.88369,-35.02692,33650
Adelaide,138.59863,-34.92866,1225235
Wodonga,146.88809,-36.12179,18582
Wheelers Hill,145.18333,-37.9,19369
Westmead,150.98768,-33.80383,17835
Werribee,144.66667,-37.9,40143
Warrnambool,142.48799,-38.38176,29176
Warragul,145.93118,-38.15912,15284
Wantirna South,145.21667,-37.88333,19081
Wangaratta,146.32056,-36.35846,17897
Wahroonga,151.11561,-33.71816,17652
Upper Coomera,153.28572,-27.87683,24956
Truganina,144.75,-37.81667,20646
Traralgon,146.5415,-38.19528,24605
Townsville,146.80569,-19.26639,196219
Toowoomba,151.95386,-27.56056,131258
Thornbury,145.00583,-37.75819,18292
Thomastown,145.01667,-37.68333,20441
Templestowe,145.14864,-37.75405,16305
Tarneit,144.65952,-37.83634,34372
Taree,152.45387,-31.91099,16359
Tamworth,150.92905,-31.09048,47597
Sydney,151.20732,-33.86785,4627345
Surry Hills,151.21282,-33.88374,16492
Surfers Paradise,153.42999,-28.00274,31073
Sunbury,144.72607,-37.57742,35449
