id,value
0de5c,16
0de64,16
0de6c,16
0de74,16
0de7c,16
0de84,16
0de8c,16
0de94,16
0de9c,16
0dea4,16
0deac,16
0deb4,16
0debc,16
0dec4,16
0decc,16
0ded4,16
0dedc,16
0dee4,16
0deec,16
0def4,16
0defc,16
0df04,16
0df0c,16
0df14,16
0df1c,16
0df24,16
0df2c,16
0df34,16
0df3c,16
0df44,16
0df4c,16
0df54,16
0df5c,16
0df64,16
0df6c,16
0df74,16
0df7c,16
0df84,16
0df8c,16
0df94,16
0df9c,16
0dfa4,16
0dfac,16
0dfb4,16
0dfbc,16
0dfc4,16
0dfcc,16
0dfd4,16
0dfdc,16
0dfe4,16
0dfec,16
0dff4,16
0dffc,16
0e004,16
0e00c,16
0e014,16
0e01c,16
0e024,16
0e02c,16
0e034,16
0e03c,16
0e044,16
0e04c,16
0e054,16
0e05c,16
0e064,16
0e06c,16
0e074,16
0e07c,16
0e084,16
0e08c,16
0e094,16
0e09c,16
0e0a4,16
0e0ac,16
0e0b4,16
0e0bc,16
0e0c4,16
0e0cc,16
0e0d4,16
0e0dc,16
0e0e4,16
0e0ec,16
0e0f4,16
0e0fc,16
0e104,16
0e10c,16
0e114,16
0e11c,16
0e124,16
0e12c,16
0e134,16
0e13c,16
0e144,16
0e14c,16
0e154,16
0e15c,16
0e164,16
0e16c,16
0e174,16
0e17c,16
0e184,16
0e18c,16
0e194,16
0e19c,16
0e1a4,16
0e1ac,16
0e1b4,16
0e1bc,16
0e1c4,16
0e1cc,16
0e1d4,16
0e1dc,16
0e1e4,16
0e1ec,16
0e1f4,16
0e1fc,16
0e204,10
0e20c,10
0e214,10
0e21c,10
0e224,16
0e22c,10
0e234,10
0e23c,10
0e244,10
0e24c,10
0e254,10
0e25c,10
0e264,10
0e26c,10
0e274,10
0e27c,10
0e284,10
0e28c,10
0e294,10
0e29c,10
0e2a4,10
0e2ac,12
0e2b4,10
0e2bc,10
0e2c4,10
0e2cc,10
0e2d4,10
0e2dc,10
0e2e4,10
0e2ec,10
0e2f4,10
0e2fc,10
0e304,10
0e30c,10
0e314,10
0e31c,10
0e324,10
0e32c,10
0e334,10
0e33c,10
0e344,10
0e34c,10
0e354,10
0e35c,10
0e364,10
0e36c,10
0e374,10
0e37c,10
0e384,10
0e38c,10
0e394,10
0e39c,10
0e3a4,10
0e3ac,10
0e3b4,10
0e3bc,10
0e3c4,10
0e3cc,10
0e3d4,10
0e3dc,10
0e3e4,10
0e3ec,10
0e3f4,10
0e3fc,10
0e404,10
0e40c,10
0e414,10
0e41c,10
0e424,10
0e42c,10
0e434,10
0e43c,10
0e444,10
0e44c,10
0e454,10
0e45c,10
0e464,10
0e46c,10
0e474,10
0e47c,10
0e484,10
0e48c,10
0e494,10
0e49c,10
0e4a4,10
0e4ac,10
0e4b4,10
0e4bc,10
0e4c4,10
0e4cc,10
0e4d4,10
0e4dc,10
0e4e4,10
0e4ec,10
0e4f4,10
0e4fc,10
0e504,10
0e50c,10
0e514,10
0e51c,10
0e524,10
0e52c,10
0e534,10
0e53c,10
0e544,10
0e54c,10
0e554,9
0e55c,9
0e564,10
0e56c,10
0e574,10
0e57c,10
0e584,10
0e58c,10
0e594,10
0e59c,10
0e5a4,10
0e5ac,10
0e5b4,10
0e5bc,10
0e5c4,10
0e5cc,10
0e5d4,10
0e5dc,10
0e5e4,10
0e5ec,10
0e5f4,10
0e5fc,10
0e604,10
0e60c,10
0e614,16
0e61c,16
0e624,16
0e62c,16
0e634,16
0e63c,16
0e644,16
0e64c,16
0e654,16
0e65c,16
0e664,16
0e66c,16
0e674,10
0e67c,10
0e684,16
0e68c,16
0e694,16
0e69c,16
0e6a4,16
0e6ac,16
0e6b4,16
0e6bc,16
0e6c4,16
0e6cc,16
0e6d4,16
0e6dc,16
0e6e4,16
0e6ec,16
0e6f4,16
0e6fc,16
0e704,16
0e70c,16
0e714,16
0e71c,16
0e724,16
0e72c,16
0e734,16
0e73c,16
0e744,16
0e74c,16
0e754,16
0e75c,16
0e764,16
0e76c,16
0e774,16
0e77c,16
0e784,16
0e78c,16
0e794,16
0e79c,16
0e7a4,16
0e7ac,16
0e7b4,16
0e7bc,16
0e7c4,16
0e7cc,16
0e7d4,16
0e7dc,16
0e7e4,16
0e7ec,16
0e7f4,16
0e7fc,16
0e804,16
0e80c,16
0e814,16
0e81c,16
0e824,16
0e82c,16
0e834,16
0e83c,16
0e844,16
0e84c,16
0e854,16
0e85c,16
0e864,16
0e86c,16
0e874,16
0e87c,16
0e884,16
0e88c,16
0e894,16
0e89c,16
0e8a4,16
0e8ac,10
0e8b4,10
0e8bc,16
0e8c4,16
0e8cc,16
0e8d4,10
0e8dc,16
0e8e4,16
0e8ec,16
0e8f4,16
0e8fc,16
0e904,16
0e90c,16
0e914,16
0e91c,16
0e924,10
0e92c,10
0e934,10
0e93c,10
0e944,10
0e94c,10
0e954,10
0e95c,10
0e964,16
0e96c,16
0e974,16
0e97c,16
0e984,16
0e98c,16
0e994,16
0e99c,16
0e9a4,16
0e9ac,16
0e9b4,16
0e9bc,16
0e9c4,16
0e9cc,16
0e9d4,16
0e9dc,16
0e9e4,16
0e9ec,16
0e9f4,16
0e9fc,16
0ea04,16
0ea1c,16
0ec04,10
0ec14,13
0ec1c,10
0ec24,12
0ec2c,12
0edd4,11
0ee0c,8
0ee14,9
0ee1c,10
0ee24,9
0ee2c,9
0ee34,9
0ee3c,9
0ee44,9
0ee4c,9
0ee54,10
0ee5c,10
0ee64,9
0ee6c,9
0ee74,9
0ee7c,10
0ee84,10
0ee8c,10
0ee94,12
0ee9c,10
0eea4,10
0eeac,10
0eeb4,10
0eebc,10
0eec4,10
0eecc,10
0eed4,10
0eedc,10
0eee4,10
0eeec,10
0eef4,10
0eefc,10
0ef04,10
0ef0c,10
0ef14,10
0ef1c,10
0ef24,10
0ef2c,10
0ef34,10
0ef3c,10
0ef44,10
0ef4c,10
0ef54,10
0ef5c,10
0ef64,10
0ef6c,10
0ef74,10
0ef7c,10
0ef84,10
0ef8c,9
0ef94,9
0ef9c,10
0efa4,10
0efac,10
0efb4,9
0efbc,9
0efc4,9
0efcc,9
0efd4,9
0efdc,9
0efe4,9
0efec,9
0eff4,9
0effc,9
0f004,9
0f00c,9
0f014,9
0f01c,9
0f024,9
0f02c,9
0f034,9
0f03c,9
0f044,9
0f04c,9
0f054,11
0f05c,8
0f064,8
0f06c,8
0f074,8
0f07c,8
0f084,2
0f08c,8
0f094,8
0f09c,8
0f0a4,13
0f0f4,9
0f0fc,9
0f1cc,11
0f1d4,9
0f1dc,9
0f954,9
0f95c,9
0f964,9
0f974,2
0f97c,9
0f984,2
0f98c,2
0fa0c,8
0fa14,2
0fa1c,2
0fa24,2
0fa2c,2
0fa34,2
0fa3c,2
0fa44,8
0fa4c,8
0fa54,8
0fa5c,8
0fa64,8
0fa6c,8
0fa74,8
0fa7c,2
0fa84,2
0fa8c,2
0fa94,8
0fa9c,9
0faa4,9
0faac,9
0fab4,9
0fabc,9
0fac4,9
0facc,9
0fad4,9
0fadc,9
0fae4,9
0faec,9
0faf4,8
0fafc,9
0fb04,9
0fb0c,9
0fb14,9
0fb1c,9
0fb24,9
0fb2c,9
0fb34,10
0fb3c,9
0fb44,10
0fb4c,10
0fb54,10
0fb5c,10
0fb64,9
0fb6c,9
0fb74,9
0fb7c,9
0fb84,9
0fb8c,9
0fb94,9
0fb9c,9
0fba4,9
0fbac,8
0fbb4,9
0fbbc,9
0fbc4,9
0fbcc,2
0fbd4,2
0fbdc,9
0fbe4,9
0fbec,9
0fbf4,9
0fbfc,9
0fc04,9
0fc0c,9
0fc14,9
0fc1c,9
0fc24,9
0fc2c,9
0fc34,9
0fc3c,8
0fc44,9
0fc4c,8
0fc54,9
0fc5c,9
0fc64,9
0fc6c,9
0fc74,9
0fc7c,9
0fc84,9
0fc8c,9
0fc94,9
0fc9c,9
0fca4,10
0fcac,10
0fcb4,10
0fcbc,10
0fcc4,10
0fccc,10
0fcd4,10
0fcdc,10
0fce4,9
0fcec,9
0fcf4,9
0fcfc,9
0fd04,9
0fd0c,10
0fd14,10
0fd1c,10
0fd24,10
0fd2c,10
0fd34,10
0fd3c,10
0fd44,10
0fd4c,10
0fd54,10
0fd5c,10
0fd64,10
0fd6c,10
0fd74,10
0fd7c,10
0fd84,9
0fd8c,9
0fd94,9
0fd9c,9
0fda4,9
0fdac,9
0fdb4,8
0fdbc,9
0fdc4,8
0fdcc,9
0fdd4,9
0fddc,2
0fde4,14
0fdec,8
0fdf4,9
0fdfc,13
0fe74,9
0fe7c,9
0fe84,9
10204,10
1020c,10
10214,10
10234,12
1023c,10
10244,9
1024c,14
10254,12
1025c,10
10264,9
1026c,9
10274,9
1027c,9
10284,10
1028c,9
10294,9
1029c,10
102a4,10
102ac,10
102b4,10
102bc,10
102c4,12
102cc,12
102d4,12
102dc,9
102e4,9
102ec,9
102f4,10
102fc,9
10304,9
1030c,12
10314,12
1031c,10
10324,10
1032c,12
10334,12
1033c,10
10344,10
1034c,10
10354,10
1035c,10
10364,10
1036c,12
10374,12
1037c,12
10384,8
1038c,8
10394,9
1039c,12
103a4,12
103ac,10
103b4,14
103bc,14
103cc,13
103f4,9
10404,11
1040c,2
10414,14
1041c,9
10424,9
1042c,14
10434,9
1043c,14
10444,12
1044c,9
10454,9
1045c,9
10464,14
1046c,14
10474,8
1047c,14
10484,9
1048c,9
10494,12
1049c,12
104a4,10
104ac,10
104b4,10
104bc,10
104c4,12
104cc,12
104d4,10
104dc,10
104e4,12
104ec,12
104f4,9
104fc,10
10504,10
1050c,10
10514,10
1051c,10
10524,10
1052c,10
10534,12
1053c,12
10544,12
1054c,12
10554,12
1055c,12
10564,12
1056c,12
10574,10
1057c,10
10584,9
1058c,9
10594,9
1059c,12
105a4,12
105ac,12
105b4,12
105bc,12
105c4,2
105cc,12
105d4,9
105dc,2
105e4,2
105ec,2
105f4,9
105fc,14
10604,2
1060c,8
10614,8
1061c,2
10624,2
1062c,2
10634,2
1063c,2
10644,2
1065c,11
1066c,8
10674,2
1067c,9
10684,11
10694,11
1069c,11
106a4,11
106ac,11
106bc,11
1070c,2
10764,2
107c4,2
107cc,2
107d4,2
107dc,2
107e4,2
107ec,2
107f4,2
107fc,2
10804,2
1080c,2
10814,2
1081c,2
10824,2
1082c,2
10834,2
1083c,2
10844,2
1084c,2
10854,2
1085c,2
10864,2
1086c,2
10874,2
1087c,2
10884,2
1088c,2
10894,2
1089c,2
108a4,8
108ac,2
108b4,8
108bc,8
108c4,2
108cc,2
108d4,2
108dc,2
108e4,2
108ec,2
108f4,2
108fc,2
10904,2
1090c,2
10914,2
1091c,2
10924,2
1092c,9
10934,9
1093c,2
10944,2
1094c,9
10954,2
1095c,2
10964,2
1096c,2
10974,2
1097c,2
10984,2
1098c,2
10994,2
1099c,2
109a4,2
109ac,2
109b4,2
109bc,2
109c4,2
109cc,2
109d4,2
109dc,2
109e4,2
109ec,2
109f4,2
109fc,2
10a04,2
10a0c,2
10a14,2
10a1c,2
10a24,2
10a2c,2
10a34,2
10a3c,2
10a44,2
10a4c,2
10a54,2
10a5c,2
10a64,2
10a6c,2
10a74,2
10a7c,2
10a84,2
10a8c,2
10a94,2
10a9c,2
10aa4,2
10aac,2
10ab4,2
10abc,2
10ac4,2
10acc,2
10ad4,2
10adc,2
10ae4,2
10aec,2
10af4,2
10afc,2
10b04,2
10b0c,8
10b14,2
10b1c,2
10b24,2
10b2c,2
10b34,2
10b3c,2
10b44,2
10b4c,2
10b54,2
10b5c,2
10b64,9
10b6c,9
10b74,9
10b7c,9
10b84,9
10b8c,9
10b94,2
10b9c,9
10ba4,8
10bac,2
10bb4,2
10bbc,2
10bc4,2
10bcc,2
10bd4,2
10bdc,2
10be4,2
10bec,2
10bf4,9
10bfc,9
10c04,9
10c0c,9
10c14,9
10c1c,9
10c24,4
10c2c,9
10c34,9
10c3c,9
10c44,9
10c4c,4
10c54,4
10c5c,9
10c64,9
10c6c,2
10c74,9
10c7c,9
10c84,9
10c8c,9
10c94,9
10c9c,9
10ca4,9
10cac,9
10cb4,2
10cbc,9
10cc4,9
10ccc,2
10cd4,5
10cdc,9
10ce4,9
10cec,9
10cf4,9
10cfc,9
10d04,9
10d0c,9
10d14,9
10d1c,9
10d24,9
10d2c,5
10d34,5
10d3c,9
10d44,9
10d4c,9
10d54,10
10d5c,10
10d64,10
10d6c,9
10d74,10
10d7c,10
10d84,10
10d8c,10
10d94,10
10d9c,10
10da4,9
10dac,9
10db4,9
10dbc,9
10dc4,10
10dcc,9
10dd4,9
10ddc,10
10de4,10
10dec,10
10df4,10
10dfc,10
10e04,10
10e0c,12
10e14,12
10e1c,12
10e24,12
10e2c,12
10e34,12
10e3c,12
10e44,10
10e4c,10
10e54,9
10e5c,9
10e64,9
10e6c,10
10e74,10
10e7c,9
10e84,9
10e8c,9
10e94,9
10e9c,9
10ea4,9
10eac,9
10eb4,9
10ebc,9
10ec4,9
10ecc,9
10ed4,2
10edc,9
10ee4,9
10eec,9
10ef4,9
10efc,9
10f04,9
10f0c,9
10f14,9
10f1c,9
10f24,2
10f2c,2
10f34,2
10f3c,2
10f44,9
10f4c,2
10f54,9
10f5c,9
10f64,9
10f6c,9
10f74,9
10f7c,9
10f84,10
10f8c,10
10f94,12
10f9c,9
10fa4,9
10fac,9
10fb4,10
10fbc,12
10fc4,12
10fcc,12
10fd4,12
10fdc,12
10fe4,10
10fec,12
10ff4,10
10ffc,10
11004,10
1100c,10
11014,10
1101c,10
11024,10
1102c,12
11034,12
1103c,12
11044,10
1104c,10
11054,10
1105c,10
11064,10
1106c,10
11074,10
1107c,10
11084,10
1108c,10
11094,10
1109c,10
110a4,16
110ac,16
110b4,16
110bc,16
110c4,16
110cc,16
110d4,16
110dc,16
110e4,16
110ec,16
110f4,10
110fc,10
11104,12
1110c,10
11114,10
1111c,10
11124,16
1112c,16
11134,16
1113c,16
11144,16
1114c,16
11154,16
1115c,16
11164,10
1116c,10
11174,10
1117c,10
11184,10
1118c,12
11194,10
1119c,10
111a4,12
111ac,10
111b4,10
111bc,10
111c4,12
111cc,12
111d4,12
111dc,12
111e4,12
111ec,12
111f4,12
111fc,10
11204,12
1120c,10
11214,10
1121c,12
11224,10
1122c,10
11234,10
1123c,10
11244,12
1124c,10
11254,10
1125c,10
11264,10
1126c,10
11274,10
1127c,10
11284,10
1128c,10
11294,10
1129c,10
112a4,10
112ac,10
112b4,10
112bc,10
112c4,10
112cc,10
112d4,10
112dc,12
112e4,10
112ec,10
112f4,10
112fc,10
11304,10
1130c,10
11314,10
1131c,10
11324,10
1132c,10
11334,10
1133c,10
11344,10
1134c,10
11354,10
1135c,10
11364,10
1136c,10
11374,10
1137c,16
11384,16
1138c,16
11394,10
1139c,10
113a4,10
113ac,10
113b4,10
113bc,10
113c4,10
113cc,10
113d4,10
113dc,10
113e4,16
113ec,16
113f4,16
113fc,16
11404,16
1140c,16
11414,16
1141c,16
11424,16
1142c,16
11434,16
1143c,16
11444,16
1144c,16
11454,16
1145c,16
11464,16
1146c,16
11474,16
1147c,16
11484,16
1148c,16
11494,16
1149c,16
114a4,16
114ac,16
114b4,16
114bc,16
114c4,16
114cc,16
114d4,16
114dc,16
114e4,16
114ec,16
114f4,16
114fc,16
11504,16
1150c,16
11514,16
1151c,16
11524,16
1152c,16
11534,16
1153c,16
11544,16
1154c,16
11554,16
1155c,16
11564,16
1156c,16
11574,16
1157c,16
11584,16
1158c,16
11594,16
1159c,16
115a4,16
115ac,16
115b4,16
115bc,16
115c4,16
115cc,16
115d4,16
115dc,16
115e4,16
115ec,16
115f4,16
115fc,16
11604,16
1160c,16
11614,16
1161c,16
11624,16
1162c,16
11634,16
1163c,16
11644,16
1164c,16
11654,16
1165c,16
11664,16
1166c,16
11674,16
1167c,16
11684,16
1168c,16
11694,16
1169c,16
116a4,16
116ac,16
116b4,16
116bc,16
116c4,16
116cc,16
116d4,16
116dc,16
116e4,16
116ec,16
116f4,16
116fc,16
11704,16
1170c,16
11714,16
1171c,16
11724,16
1172c,16
11734,16
1173c,16
11744,16
1174c,16
11754,16
1175c,16
11764,16
1176c,16
11774,16
1177c,16
11784,16
1178c,16
11794,16
1179c,16
