time1,time2,lon1,lat1,alt1,lon2,lat2,alt2
358,1845,153.514,-28.1819,0,153.0084,-27.5735,-99
364,4871,-97.1979,33.1872,305,-97.1977,33.2157,305
366,1439,100.4809,13.5783,3962,100.0813,11.3866,11278
366,2607,-73.7281,45.4678,0,-68.9708,45.7256,7551
366,1166,-117.9694,33.8707,0,-117.7429,33.493,84
367,15623,-123.296,49.1871,610,-73.7513,45.4597,0
368,1783,-112.7091,41.8344,3962,-112.0922,40.7634,2903
369,1187,-123.285,49.1749,0,-123.9718,49.1856,30
370,3180,-84.4165,33.6348,305,-89.1507,30.3798,6949
370,4573,-78.2488,34.319,3353,-83.9751,35.8237,351
370,40711,-80.2337,25.7986,305,10,53.6258,-15
370,1166,146.5012,-36.2986,914,146.9542,-36.0674,-15
373,8077,-98.5511,29.3085,914,-89.0809,42.2657,617
380,31454,121.131,25.0231,914,-150.0429,61.1678,76
383,3445,-121.1985,44.1246,914,-121.2057,44.0711,1135
383,1329,106.0757,26.9694,9449,108.1592,27.9109,9479
387,2018,-150.0067,61.1859,0,-152.6971,60.1474,6096
388,5569,-111.0483,32.2033,2134,-111.9528,40.5977,2263
394,31690,55.9347,25.6268,0,7.1653,50.8728,107
398,5185,-78.2786,34.3582,7315,-73.4009,40.7201,23
399,12909,-86.5228,30.6491,0,-86.7424,30.6508,122
399,4406,-80.2479,25.8047,305,-88.3657,28.7162,11582
399,2159,-75.7497,41.3787,1524,-76.7228,40.1859,274
400,2396,-86.9941,38.8375,1524,-85.7435,38.2229,396
400,1241,121.03,14.5146,610,120.5415,15.1327,450
401,2139,150.8455,-31.0914,305,149.7191,-31.0112,1836
402,2539,106.3207,20.4185,6401,108.1307,16.1938,11575
404,5095,132.2466,34.1698,2134,137.5982,37.0994,7620
404,1041,-111.6813,33.3347,914,-111.8987,33.6332,511
406,1703,-74.3513,41.1496,305,-74.5855,40.531,84
406,1711,-122.4625,49.0033,305,-123.3608,48.6454,183
406,4923,143.7826,-37.5009,1219,143.6616,-38.261,937
409,1499,113.8182,22.6256,305,112.7308,23.5355,6614
412,13339,144.8356,-37.6568,0,115.9606,-31.9555,-46
413,1978,-122.5805,49.2895,305,-122.4338,49.0775,259
415,3746,153.0065,-27.573,-305,152.6208,-25.6432,1250
417,5356,-97.0508,32.9112,305,-104.6423,39.7751,2042
422,1108,-80.8853,43.0878,305,-80.8135,43.1128,335
426,1406,-118.4036,33.9353,0,-117.8896,33.6431,183
426,12559,-93.158,44.8581,610,-118.4002,33.9523,46
427,7969,-81.4119,28.3511,2134,-98.3968,29.5974,709
427,5205,-84.4168,33.6347,305,-76.6479,39.1487,145
427,5512,140.4624,35.645,1829,130.4389,33.6031,38
431,1127,144.7544,-37.9247,-305,144.9015,-37.7359,-91
434,1766,106.6767,29.6747,1219,109.4419,29.228,8870
437,4187,-95.9838,32.7047,305,-95.9839,32.6949,305
437,2699,135.3851,34.7719,914,131.9391,31.8892,11575
438,8616,-97.0296,32.9155,305,-81.3347,28.5911,754
439,1348,-82.913,30.5765,4267,-81.7045,30.8065,5166
442,2593,-123.2232,49.1919,610,-119.3737,49.9272,495
447,2048,145.0994,-37.9706,-305,145.1006,-37.9872,-152
451,1859,-78.9952,36.2656,305,-78.7759,35.8969,213
453,1933,152.9894,-27.0771,-305,152.1864,-26.7653,1273
453,1563,147.4802,-42.8107,0,147.4867,-42.8325,-84
454,4198,-87.594,45.5148,2438,-87.9958,42.9625,709
455,8368,-81.083,28.405,2743,-71.6168,41.3028,1577
456,2364,-118.4517,34.0155,0,-118.4461,34.0202,76
464,7979,-97.0299,32.9012,305,-81.9059,41.3794,404
466,1088,106.6146,30.3436,8839,107.7986,29.7594,8870
467,4338,-117.5969,34.0568,0,-122.2208,37.7059,-91
468,4450,-115.1633,36.0877,610,-121.2143,37.88,46
469,4667,-97.424,32.9093,610,-97.4119,32.9456,518
470,3218,-80.32,40.4052,1524,-80.7036,34.44,9304
472,6699,-84.4191,33.6348,305,-97.0098,32.9041,297
