hex,home_lng,home_lat,count
8a2830828707fff,-122.41285,37.77774,51
8a2830972b2ffff,-122.46554,37.63441,37
8a28309202dffff,-122.36725,37.59755,61
8a28308a8317fff,-122.26338,37.86634,42
8a283098d3affff,-122.24000,37.75164,32
8a28308a828ffff,-122.25613,37.86444,29
8a28308c28d7fff,-122.33024,37.95169,32
8a28308a9c27fff,-122.26786,37.86574,32
8a283095cd97fff,-122.48971,37.73193,40
8a283095e817fff,-122.47148,37.73824,35
8a283092b40ffff,-122.39526,37.59108,33
8a283098d3affff,-122.26056,37.75788,48
8a28308a8387fff,-122.26006,37.86723,73
8a28308a0377fff,-122.20556,37.82941,36
8a2830971c27fff,-122.48207,37.66068,110
8a283098d227fff,-122.23712,37.73267,27
8a283092b447fff,-122.39555,37.65126,41
8a283082aa67fff,-122.40942,37.78439,184
8a283092e28ffff,-121.84283,37.71640,44
8a283082844ffff,-122.41285,37.77774,110
8a283095e827fff,-122.47148,37.73824,38
8a28308597b7fff,-122.52625,37.86736,47
8a283092eb5ffff,-122.40147,37.61042,30
8a28308a830ffff,-122.24794,37.86365,55
8a2830876517fff,-122.48259,37.81055,33
8a283082b4e7fff,-122.40853,37.80009,45
8a28308a8a9ffff,-122.26006,37.86723,48
8a2830935b07fff,-122.32073,37.57101,30
8a28308a8057fff,-122.26006,37.86723,35
8a28308ab927fff,-122.26006,37.86723,61
8a28308a8247fff,-122.26728,37.87568,35
8a28309466affff,-122.46345,37.65882,31
8a2830973b57fff,-122.47721,37.67379,27
8a28308ac8a7fff,-122.23194,37.86762,31
8a283094678ffff,-122.48291,37.69835,90
8a28308a8347fff,-122.25038,37.86713,35
8a283095c257fff,-122.50059,37.74569,36
8a2830929577fff,-122.44403,37.63001,74
8a28308c3c97fff,-122.34766,37.96496,26
8a2830974287fff,-122.45375,37.63543,31
8a28308286a7fff,-122.41250,37.78346,26
8a2830956337fff,-122.42099,37.70973,27
8a283095269ffff,-122.40712,37.74240,69
8a28308a822ffff,-122.25690,37.86703,98
8a28308f3b2ffff,-122.32195,37.91682,28
8a2830bb576ffff,-122.50538,37.96689,53
8a28309466affff,-122.47880,37.66741,46
8a28309466affff,-122.45502,37.70459,47
8a28308a82effff,-122.25613,37.86444,27
8a28308597b7fff,-122.51631,37.91914,51
8a28308a8357fff,-122.26181,37.86379,40
8a28309466affff,-122.49379,37.68911,55
8a28308a832ffff,-122.25613,37.86444,48
8a2830929577fff,-122.46087,37.62622,27
8a28308a8327fff,-122.25285,37.86780,64
8a283095240ffff,-122.39956,37.73469,43
8a283097149ffff,-122.46227,37.68795,51
